contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,label
394.8257659,438.0540254,93.71352635,423.4540408,5.309497549,5.704836601,1.985033701,5.647227989,0.80058808,0.795384096,0.859414329,0.797194863,0.776314147,0.775511667,0.784766251,0.776062733,0.946952703,0.941216057,0.987384936,0.943175278,dress
201.6112132,271.2879354,149.2892157,311.0297578,4.006832108,4.73408689,3.168596814,5.161276432,0.825835126,0.819110879,0.837864212,0.817143849,0.806868128,0.804296784,0.807850229,0.803666166,0.968904315,0.958291549,0.976974245,0.952181547,dress
361.9695466,450.2937793,125.0318168,406.8818608,5.624356618,6.468296809,2.763495711,5.981314879,0.796053337,0.791111274,0.825722277,0.792410266,0.777261681,0.776049156,0.783279819,0.776188708,0.951647778,0.940038498,0.983298379,0.945819266,dress
700.7536152,859.0031526,637.2773591,888.7512188,11.04929534,12.44462899,10.21280637,12.58777393,0.650266628,0.648961434,0.668413396,0.649472195,0.626805783,0.627187434,0.632594238,0.626863628,0.934613146,0.919812452,0.940372121,0.917035484,dress
438.0211857,547.3262899,235.0571844,518.2634064,8.829028799,9.893364091,5.339721201,9.375101884,0.59226919,0.582155169,0.663799284,0.585730919,0.537501308,0.535082536,0.538189039,0.534729387,0.965929446,0.957508808,0.981719345,0.959765112,dress
261.9693934,326.9303499,89.43756127,301.3585544,3.886243873,4.452995002,1.919546569,4.319938485,0.834074271,0.82742637,0.868477601,0.828411709,0.803843046,0.803970676,0.814345727,0.804186307,0.959151458,0.949112215,0.986033482,0.95309255,dress
294.2248775,369.451534,133.4745711,331.9453441,4.470343137,5.190096117,2.653676471,4.91964629,0.83206812,0.828040997,0.856434825,0.829700227,0.816994051,0.81660909,0.827615954,0.816685728,0.95268499,0.940784949,0.978535722,0.946796376,dress
444.5980086,509.670496,98.65398284,486.6144406,6.922702206,7.604890427,2.660692402,7.378454441,0.788532215,0.783574311,0.822337531,0.784184974,0.77460502,0.772479766,0.778545951,0.772464187,0.943535154,0.935472758,0.987470745,0.938391788,dress
527.1768689,661.5748097,246.8854473,596.1544637,7.828400735,8.899377163,4.353584559,8.176732026,0.685096081,0.679935148,0.727261315,0.682194337,0.643097665,0.642513152,0.648127815,0.642835965,0.952257942,0.940175969,0.977618887,0.946091715,dress
206.7816176,287.5697962,138.8715686,269.1889273,3.606280637,4.330334487,2.752757353,4.228681276,0.848934695,0.841894833,0.86828838,0.842082621,0.819620673,0.81783578,0.821724145,0.818097216,0.966672502,0.953805043,0.977618355,0.95675773,dress
234.8694853,330.8404614,242.1873009,335.212103,5.873958333,6.972718185,5.533134191,6.85620915,0.705326686,0.699545637,0.718206027,0.699273053,0.666355595,0.664737434,0.669237525,0.66473696,0.977908787,0.968966683,0.977222858,0.968556616,dress
193.0259498,257.0016455,81.46268382,220.4046136,4.260508578,5.024775087,2.387530637,4.422268358,0.787370402,0.784401608,0.814653087,0.78455476,0.761454458,0.759979215,0.766297285,0.759966114,0.976379555,0.9686478,0.990031537,0.973112353,dress
222.7020221,273.838985,68.84001225,255.6720031,3.931525735,4.585713187,1.96473652,4.216193772,0.828934323,0.824296022,0.852441113,0.825948825,0.810099869,0.809108362,0.816295908,0.809308376,0.965126845,0.957259098,0.989220267,0.960094608,dress
289.2376838,359.0940561,116.1839001,343.4377086,4.828737745,5.390188389,2.624004289,5.352202999,0.787912552,0.782795449,0.812773321,0.783682767,0.759433897,0.758366873,0.762835723,0.758674493,0.96438977,0.955911149,0.985691451,0.957833404,dress
364.0378064,418.4760631,116.7147672,406.76792,5.281556373,5.817239523,2.589828431,5.68839677,0.799186087,0.79333151,0.834821819,0.793666502,0.769889035,0.768676374,0.776312596,0.768983834,0.952847371,0.94596412,0.984882469,0.947475939,dress
210.1351716,255.464729,78.30545343,225.0580546,3.881893382,4.56839677,2.152205882,4.19100346,0.783306215,0.768787961,0.817067235,0.770644784,0.715686801,0.715430287,0.723868564,0.715798891,0.975015274,0.969688557,0.990683334,0.973296375,dress
392.1956801,517.7174933,173.9246936,486.149481,5.800183824,6.832387543,2.803339461,6.60650519,0.782590574,0.776015744,0.837152536,0.776020622,0.75911053,0.757719383,0.764540126,0.757796031,0.952021541,0.936860883,0.978723578,0.940710814,dress
