contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,label
568.8791973,744.4168243,413.8051164,816.5719339,8.799080882,10.8083045,6.827144608,11.6147328,0.680526972,0.634980553,0.721304897,0.629097437,0.470981177,0.465815388,0.473692204,0.465801979,0.960119302,0.947872233,0.970990613,0.942819574,shirt
697.3238971,926.3401153,573.691973,1053.220115,8.755085784,10.73743945,6.604993873,11.8300346,0.725088589,0.683585355,0.783042876,0.67873987,0.481889302,0.47645666,0.4836566,0.476482662,0.953588925,0.938423234,0.961817369,0.929989118,shirt
963.6548407,1609.186467,952.5393689,1577.340592,12.76363358,17.38737409,12.06829044,17.19311034,0.542548193,0.485549416,0.548033569,0.486339614,0.398260328,0.390579897,0.397960531,0.390402215,0.934682191,0.890992836,0.935435233,0.893150093,shirt
461.1604779,804.0029527,469.3584559,815.0192388,4.758425245,7.142760477,4.469332108,7.250872741,0.8045554,0.748607321,0.816698679,0.751448703,0.572848522,0.567028604,0.573309746,0.56711868,0.964498137,0.938228816,0.963867026,0.93738244,shirt
267.2363971,425.2015686,236.6580576,410.7077278,5.780974265,8.10331411,4.94564951,7.967151096,0.738236055,0.68425841,0.780881694,0.685334169,0.459851782,0.454902922,0.462570002,0.454899959,0.983014215,0.973005074,0.984957802,0.97392525,shirt
1056.001961,1587.482784,1190.876225,1542.742607,17.61136642,22.47000384,19.0598652,22.04699731,0.464003366,0.431427925,0.459480259,0.43460281,0.396960495,0.389150065,0.39660878,0.389200305,0.924684513,0.886828397,0.915065098,0.890017923,shirt
662.1412377,782.2032141,225.3492341,802.1094656,7.847610294,9.027204921,4.809191176,9.383929258,0.702294121,0.693513841,0.728833525,0.691010256,0.672197433,0.669074547,0.683939123,0.668953093,0.936350837,0.92501249,0.97833802,0.923104136,pants
677.1997089,821.6382007,261.4084099,828.3601538,8.283134191,9.718077662,5.232490809,9.850319108,0.670760962,0.666184076,0.710386438,0.664982263,0.641540154,0.640939661,0.656966298,0.641061413,0.938705355,0.925829448,0.976342203,0.925222588,pants
448.5820466,603.6104575,308.1821078,585.953218,7.366207108,8.737654748,5.858118873,8.607427912,0.734328574,0.725291895,0.75933611,0.726430077,0.713525145,0.710559141,0.724073962,0.710681664,0.953004879,0.936945723,0.967713698,0.938790232,pants
248.8688113,362.7395925,209.5782475,358.9225682,6.210324755,7.558508266,5.541758578,7.509480969,0.698096162,0.68828477,0.709983535,0.688787383,0.667677241,0.664382941,0.674429689,0.664337841,0.97634956,0.965620309,0.980083411,0.965982079,pants
250.7384804,314.3588158,107.2917279,339.9407305,3.486060049,4.141176471,1.855974265,4.293425606,0.84335011,0.832086548,0.881215643,0.831164821,0.805589434,0.803036005,0.813288763,0.802422396,0.962242432,0.952816106,0.983843426,0.948976372,pants
