contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,red,green,blue,hue,saturation,value,label
656.8456458,751.881216,622.6555123,767.9289716,7.285981837,8.301067321,6.928001926,8.435480103,0.857136711,0.845911653,0.861491299,0.844963786,0.677708106,0.672761292,0.679652568,0.672451325,0.438804361,0.358314109,0.467638079,0.344618305,44.30060196,44.34420395,44.34941101,22.98917007,12.04404831,46.60364151,jahe
409.9755534,502.7950873,409.7718322,500.2902639,4.366140227,5.331451702,4.394179611,5.295904964,0.91427497,0.902868826,0.913309009,0.903432377,0.79391511,0.788968864,0.792742939,0.789064435,0.499159465,0.386913067,0.499408338,0.389967342,27.40849304,27.46158981,27.44908142,13.82078552,6.935344696,28.86391068,jahe
377.976616,491.1144259,414.9360934,479.6124938,4.243242417,5.399726564,4.601440191,5.315704214,0.90985549,0.896686019,0.905798754,0.89721742,0.79477308,0.789728208,0.792859352,0.789763534,0.560279591,0.429718213,0.517282654,0.44307425,27.33605957,27.31011581,27.32365799,14.03607941,7.748558044,28.9310379,jahe
380.6914674,483.2936302,404.0469897,483.1221081,4.065527153,5.116731324,4.306636803,5.102829723,0.919427458,0.907345065,0.916821872,0.907603296,0.803578226,0.798737861,0.802077504,0.798773158,0.517203729,0.388228465,0.48758405,0.388445584,26.06788635,26.10596085,26.0880928,12.39162445,7.667827606,27.63549423,jahe
401.3725844,470.0008502,370.6211625,477.4461418,4.226547211,4.905151252,3.894515961,4.986607741,0.92020977,0.912628304,0.92445256,0.912025412,0.807547012,0.804596185,0.8094137,0.804411187,0.463271744,0.37267891,0.504393529,0.362741505,25.38166046,25.39849472,25.37832642,12.21615219,6.67294693,26.65615463,jahe
389.4076336,484.4866173,386.8056048,480.4932196,4.307332436,5.255417986,4.235621025,5.226197816,0.911288595,0.901150153,0.913217247,0.901499071,0.801516199,0.798088783,0.802770306,0.797974965,0.540000413,0.428749287,0.543074139,0.433457841,26.09893417,26.09852219,26.0906105,12.55695724,7.382369995,27.69505692,jahe
377.3731654,467.2734479,396.1007828,474.4952953,4.064648055,4.982839373,4.275386803,5.080518227,0.919563687,0.908416241,0.91624007,0.907556155,0.806740066,0.802049773,0.804661638,0.801896307,0.515529845,0.401237171,0.491487405,0.391983117,25.59254074,25.63028336,25.62917328,11.95611191,6.87059021,27.04618835,jahe
308.0056262,351.429751,276.8835999,365.0080537,3.193798924,3.603907767,2.813463185,3.729374505,0.939980973,0.935710941,0.946525389,0.934255484,0.849010525,0.847365211,0.852143274,0.847129341,0.456865007,0.381466666,0.511745373,0.357568198,19.67352295,19.67390442,19.64695358,9.10994339,5.637550354,20.91910172,jahe
268.9140701,354.2419721,306.0037916,356.405337,2.894668848,3.820382122,3.329814396,3.818505597,0.940671094,0.928518043,0.933985392,0.929081764,0.853217125,0.848321141,0.849980467,0.848603551,0.571402356,0.436470798,0.512288427,0.433029311,19.4379921,19.43227768,19.41240311,9.24571991,6.270996094,20.86449814,jahe
320.4780149,367.2850901,282.8889968,369.0038105,3.406257644,3.879779872,2.991017918,3.877826755,0.935603874,0.930250135,0.941443209,0.930827162,0.845441711,0.843540602,0.848110934,0.843687867,0.466473061,0.389705156,0.529050688,0.386849265,20.11553574,20.09732819,20.08195114,9.950878143,5.456661224,21.29229355,jahe
908.6202605,1055.781124,850.7950289,1069.388165,9.640563845,11.10201401,9.0603787,11.25172238,0.817011529,0.800583516,0.823048507,0.799446449,0.587888986,0.580233328,0.591358951,0.579289414,0.433763382,0.341495006,0.468406785,0.33300811,60.68998718,60.86252975,60.85771942,31.87095642,17.36492538,64.09237289,jahe
535.9144447,681.9327515,585.892238,669.6076608,6.214797884,7.757981932,6.702475232,7.662968509,0.867432408,0.850793602,0.862267594,0.85108476,0.71429082,0.707967999,0.712444555,0.708034269,0.5309508,0.404224338,0.487208662,0.414992246,38.40305328,38.46546936,38.46118546,18.14146423,11.17327118,40.65369034,jahe
347.6053235,422.8328859,352.0755336,421.5264188,3.739557852,4.546681424,3.82580877,4.520410078,0.927337631,0.917454602,0.92554771,0.917997876,0.825113653,0.82077244,0.823666946,0.821061326,0.485364731,0.37516526,0.478746513,0.377095871,23.03632355,23.08928299,23.07126999,11.40003967,6.97712326,24.52968979,jahe
351.9006467,427.0328085,342.6868426,421.4747799,3.831817209,4.5980982,3.719292747,4.540140395,0.923742065,0.915236179,0.925834814,0.915778563,0.823541095,0.820665911,0.824874387,0.82064359,0.509933194,0.406416209,0.522764599,0.414141975,23.04123688,23.07515335,23.05368042,11.74000168,6.954055786,24.50671005,jahe
508.5728695,653.1843666,556.3557975,658.8412537,5.515177807,6.986412429,6.010885519,7.036550105,0.88661878,0.869547065,0.881170459,0.869563566,0.730245145,0.72310092,0.727342907,0.723038903,0.53033767,0.397894268,0.487013527,0.392679746,36.88097382,36.89840317,36.89841461,17.83297729,10.35063171,39.12799072,jahe
526.1940435,627.9638558,518.4205143,641.9579888,5.542586534,6.596344224,5.530951871,6.724215977,0.894211115,0.881438287,0.893368336,0.880399628,0.743925367,0.738015768,0.742357215,0.73785833,0.46892001,0.367376536,0.477895034,0.353278564,34.92905807,34.91399384,34.90346146,17.91333771,10.0221405,37.05677414,jahe
